Epoch,Train Loss,Test Loss,Train Acc,Test Acc,F1 Score,Learning Rate
1,9.7901,2.916,0.3305,0.2585,0.1291,0.01
2,1.2984,1.8835,0.4799,0.3341,0.2941,0.01
3,1.1537,3.4296,0.5267,0.2597,0.1328,0.01
4,1.0983,2.2783,0.5651,0.2364,0.1645,0.01
5,1.022,2.5181,0.6131,0.2861,0.1667,0.005
6,0.9227,1.6339,0.6539,0.4475,0.3269,0.005
7,0.8128,1.6726,0.7055,0.2945,0.2929,0.005
8,0.7509,1.4749,0.7403,0.3677,0.3747,0.005
9,0.7161,1.3737,0.7528,0.4601,0.4138,0.005
10,0.6666,1.5316,0.7756,0.3863,0.3559,0.0025
11,0.5969,1.2691,0.8122,0.4859,0.461,0.0025
12,0.5553,1.3032,0.8314,0.4961,0.4732,0.0025
13,0.5309,1.317,0.844,0.4607,0.4594,0.0025
14,0.5038,1.3353,0.865,0.4601,0.4561,0.0025
15,0.475,1.5218,0.8776,0.4115,0.4038,0.00125
16,0.4468,1.2946,0.8896,0.4697,0.472,0.00125
17,0.4251,1.274,0.8998,0.4877,0.4779,0.00125
18,0.4094,1.2364,0.9004,0.5141,0.5025,0.00125
19,0.3914,1.2547,0.9064,0.5189,0.5012,0.00125
20,0.3799,1.2475,0.9184,0.5027,0.5011,0.000625
21,0.374,1.269,0.9232,0.4985,0.4973,0.000625
22,0.3537,1.2318,0.9256,0.5159,0.5093,0.000625
23,0.3503,1.2485,0.9346,0.5243,0.505,0.000625
24,0.3466,1.233,0.9382,0.5123,0.5037,0.000625
25,0.3416,1.2415,0.9388,0.5165,0.5048,0.0003125
26,0.3338,1.2418,0.9436,0.5201,0.5065,0.0003125
27,0.3262,1.2549,0.9388,0.5237,0.5099,0.0003125
28,0.322,1.2335,0.949,0.5225,0.5079,0.0003125
29,0.3158,1.2496,0.9412,0.5225,0.5122,0.0003125
30,0.3202,1.2363,0.952,0.5225,0.5138,0.00015625
31,0.3131,1.2424,0.9502,0.5231,0.5128,0.00015625
32,0.3151,1.2382,0.9496,0.5213,0.5108,0.00015625
33,0.3121,1.2461,0.9502,0.5207,0.5119,0.00015625
34,0.3073,1.2474,0.9538,0.5225,0.5104,0.00015625
35,0.3053,1.2525,0.9526,0.5219,0.5105,7.8125e-05
36,0.3059,1.2345,0.9514,0.5189,0.5095,7.8125e-05
37,0.3071,1.2359,0.9508,0.5201,0.5109,7.8125e-05
38,0.3021,1.2605,0.9532,0.5231,0.5113,7.8125e-05
39,0.307,1.2585,0.955,0.5219,0.5098,7.8125e-05
40,0.2991,1.2489,0.9568,0.5243,0.5129,3.90625e-05
41,0.302,1.2407,0.9508,0.5231,0.5142,3.90625e-05
42,0.3011,1.2574,0.9574,0.5219,0.5098,3.90625e-05
43,0.3013,1.257,0.9544,0.5231,0.512,3.90625e-05
44,0.3002,1.2557,0.9532,0.5255,0.5144,3.90625e-05
45,0.2998,1.249,0.9556,0.5231,0.5124,1.953125e-05
46,0.3018,1.2555,0.9562,0.5201,0.5098,1.953125e-05
47,0.3055,1.249,0.9562,0.5237,0.5136,1.953125e-05
48,0.3013,1.2653,0.955,0.5237,0.5126,1.953125e-05
49,0.3102,1.2511,0.952,0.5201,0.5113,1.953125e-05
50,0.2984,1.2431,0.958,0.5195,0.5094,9.765625e-06
